,Adenine content(1),Adenine content(2),Adenine content(3),Cytosine content(1),Cytosine content(2),Cytosine content(3),Enthalpy (RNA)1,Enthalpy (RNA)2,Enthalpy (RNA)3,Enthalpy (RNA)_1,Enthalpy (RNA)_2,Enthalpy (RNA)_3,Entropy (RNA)1,Entropy (RNA)2,Entropy (RNA)3,Entropy (RNA)_1,Entropy (RNA)_2,Entropy (RNA)_3,Free energy (RNA)1,Free energy (RNA)2,Free energy (RNA)3,Free energy (RNA)_1,Free energy (RNA)_2,Free energy (RNA)_3,GC content1,GC content2,GC content3,Guanine content1,Guanine content2,Guanine content3,Hydrophilicity (RNA)1,Hydrophilicity (RNA)2,Hydrophilicity (RNA)3,Hydrophilicity (RNA)_1,Hydrophilicity (RNA)_2,Hydrophilicity (RNA)_3,Keto (GT) content1,Keto (GT) content2,Keto (GT) content3,Purine (AG) content1,Purine (AG) content2,Purine (AG) content3,Rise (RNA)1,Rise (RNA)2,Rise (RNA)3,Roll (RNA)1,Roll (RNA)2,Roll (RNA)3,Shift (RNA)1,Shift (RNA)2,Shift (RNA)3,Slide (RNA)1,Slide (RNA)2,Slide (RNA)3,Stacking energy (RNA)1,Stacking energy (RNA)2,Stacking energy (RNA)3,Thymine content1,Thymine content2,Thymine content3,Tilt (RNA)1,Tilt (RNA)2,Tilt (RNA)3,Twist (RNA)1,Twist (RNA)2,Twist (RNA)3
osa-NR719,0.16,1.949,-0.001,0.136,0.003,0.21,0.16,-2.379,-0.151,-0.426,-0.473,0.191,0.743,0.0,0.111,0.147,1.91,0.006,0.115,0.0,0.111,0.758,-0.088,-18.216,0.001,-0.092,-0.001,-0.059,0.052,0.228,-0.101,2.549,0.267,0.026,-3.624,-0.016,-0.147,-0.319,-10.967,0.0,-0.302,-0.013,-0.239,-2.564,-0.094,14.047,-0.002,-0.097,-0.002,-0.236,0.083,1.73,0.204,5.167,0.955,0.028,2.14,-0.012,-0.031,0.117,13.148,-0.001,0.118,0.015,0.052,2.205
ath-miR417,0.197,-8.685,0.001,0.042,0.009,0.291,0.08,-1.032,-0.267,-0.518,-0.019,0.247,-0.901,-0.001,0.075,0.08,-5.543,0.011,0.042,0.007,0.089,-0.451,-0.208,-11.992,-0.006,-0.012,-0.001,-0.12,-0.193,-1.735,0.052,-1.14,-0.475,-0.018,-1.833,-0.023,-0.164,-0.176,-9.887,-0.002,-0.137,-0.026,-0.199,-1.942,-0.161,-22.202,0.001,-0.012,-0.001,-0.108,-0.068,-1.603,-0.064,5.836,-1.268,0.04,-3.471,-0.038,-0.04,-0.144,-15.822,-0.003,-0.149,-0.056,-0.065,-2.651
vvi-miR2111,0.108,-6.931,0.0,0.091,0.008,0.291,-0.011,-1.326,-0.021,-0.366,0.126,0.022,-0.749,0.0,0.169,0.056,-0.297,0.012,0.024,-0.001,0.053,0.108,-0.14,-8.447,-0.002,-0.126,-0.006,-0.146,-0.073,-0.186,-0.092,-0.728,-1.531,-0.108,-1.226,0.0,0.012,-0.045,7.494,-0.009,-0.067,0.005,-0.056,0.96,-0.149,21.055,0.0,0.015,-0.014,-0.331,0.034,-1.74,-0.01,2.418,-1.432,-0.077,3.598,-0.008,-0.046,0.154,20.157,-0.022,0.177,0.007,0.056,3.263
osa-miR172a,0.089,-17.259,-0.001,0.055,0.004,0.089,0.0,-0.784,-0.014,-0.751,-0.257,-0.017,-2.356,-0.001,0.011,0.003,-2.591,0.006,-0.043,0.001,0.03,-0.359,-0.102,-26.748,-0.003,-0.053,-0.004,-0.023,-0.003,-0.752,-0.176,-0.5,0.57,-0.143,-4.591,-0.032,-0.044,-0.272,-16.467,-0.008,-0.291,-0.03,-0.19,-3.01,-0.05,42.763,0.005,0.084,-0.006,-0.025,-0.006,1.223,-0.078,-1.099,0.011,0.127,7.272,-0.029,0.13,0.397,7.982,-0.009,0.448,-0.007,0.257,2.586
osa-miR166j,0.224,-11.334,0.003,0.139,0.008,0.247,0.1,-1.919,-0.019,-0.601,-0.499,0.064,-1.256,-0.003,0.022,0.094,-1.045,0.014,0.06,-0.001,0.155,0.145,0.044,-27.893,0.002,-0.076,0.0,-0.12,-0.178,-0.247,-0.211,-2.386,0.323,-0.076,-3.278,-0.018,-0.254,0.053,-7.205,0.004,0.017,-0.003,0.053,-0.707,0.105,1.025,0.003,0.037,-0.001,-0.235,-0.019,-0.687,-0.085,0.077,-0.503,-0.115,0.162,-0.024,-0.056,0.084,-2.297,0.004,0.057,0.002,0.118,-0.021
osa-miR5337a,0.114,-3.591,0.004,0.033,0.003,0.078,0.03,-1.51,-0.216,-1.017,-0.329,0.053,-0.198,0.0,0.058,0.085,-1.405,0.005,0.063,0.004,0.089,0.113,-0.026,2.263,0.0,-0.187,-0.011,-0.213,-0.129,-0.921,0.05,2.465,0.591,-0.284,-0.17,-0.01,-0.05,-0.15,-10.426,-0.014,-0.133,-0.006,-0.129,-1.932,0.09,-20.087,0.004,-0.08,-0.003,-0.05,-0.006,1.036,-0.024,-5.087,-1.907,-0.019,-3.307,-0.005,0.006,-0.139,-14.957,-0.004,-0.136,0.003,0.04,-2.573
gma-miR5674a,0.119,1.839,0.003,0.102,-0.001,-0.033,0.147,-3.053,-0.098,-0.188,-0.177,0.102,0.481,-0.002,0.111,0.075,-1.4,0.0,0.051,0.0,0.064,0.1,-0.012,-7.606,0.001,-0.003,-0.003,-0.099,0.05,0.655,-0.083,1.167,0.153,-0.061,-1.103,0.02,0.061,-0.052,-2.949,-0.003,-0.022,-0.003,-0.044,-0.556,0.046,-14.459,-0.001,-0.062,0.001,0.071,0.065,-1.246,-0.144,0.836,0.335,-0.012,-2.404,-0.015,0.065,-0.164,-16.256,0.0,-0.119,-0.032,-0.046,-2.857
osa-miR415,0.042,-22.455,-0.001,0.055,0.0,0.091,-0.03,-0.859,-0.059,-0.493,0.13,0.047,-2.783,0.0,0.086,0.046,-3.205,0.001,-0.019,0.0,0.072,-0.249,-0.006,18.776,-0.003,-0.14,-0.001,-0.041,-0.032,0.535,-0.118,-2.795,-0.925,-0.006,2.634,-0.005,-0.02,0.073,1.407,-0.001,0.086,0.004,0.012,0.619,0.0,24.185,0.0,-0.149,-0.001,-0.04,-0.034,-2.103,-0.135,-2.099,-1.187,-0.006,3.874,0.024,0.003,0.164,7.092,-0.003,0.204,0.007,0.062,1.69
mmu-miR-novel-68,0.244,-3.099,0.002,0.074,0.0,0.05,0.169,-1.244,0.006,-0.752,-0.199,0.079,0.457,-0.002,0.277,0.315,5.077,0.002,0.25,0.004,0.351,1.727,0.004,-3.344,0.0,-0.052,-0.002,-0.264,0.13,-0.395,0.02,0.628,-0.523,-0.061,0.283,0.008,0.1,0.257,15.794,-0.003,0.195,0.017,0.221,2.89,0.041,17.281,0.001,-0.005,-0.001,-0.191,0.086,1.402,-0.088,0.614,1.168,-0.014,3.624,-0.013,0.186,0.442,11.242,0.0,0.361,0.016,0.327,3.092
ghr-miR408-5p-2,0.094,-10.582,-0.001,0.055,0.003,0.139,0.127,-0.314,-0.032,-0.695,0.085,0.072,-1.238,-0.001,0.208,0.078,-2.14,0.004,0.032,0.004,0.08,-0.034,-0.085,3.253,-0.002,-0.14,-0.001,-0.108,-0.088,0.804,-0.09,-2.444,-0.888,-0.035,0.298,0.001,-0.17,-0.033,1.415,-0.002,-0.058,0.011,-0.073,0.287,-0.05,20.641,0.001,-0.09,-0.001,-0.065,-0.269,-2.549,-0.064,-1.322,-1.234,-0.037,3.072,0.027,-0.254,0.091,5.006,-0.001,0.092,0.009,-0.009,1.202
bra-miR1885b,0.177,-14.308,-0.001,0.087,0.013,0.438,0.077,-0.592,-0.012,-2.475,-0.097,0.2,-2.039,-0.001,0.19,0.021,-6.408,0.018,-0.016,0.001,0.178,-0.84,-0.005,-3.653,0.004,0.026,0.005,0.289,-0.076,0.251,-0.005,-0.221,-0.728,0.105,-0.296,-0.018,0.095,-0.021,-8.268,0.005,0.009,-0.006,0.037,-1.148,-0.097,24.58,-0.003,0.028,-0.002,0.181,-0.089,-0.512,-0.106,1.539,-0.249,0.083,3.818,-0.02,0.156,0.114,3.892,-0.006,0.143,-0.004,0.094,0.932
osa-miR2878,0.256,-1.599,0.003,0.066,0.008,0.285,0.085,-1.307,0.122,-0.178,0.122,0.157,0.352,0.0,0.178,0.19,6.447,0.012,0.134,0.007,0.151,1.629,0.067,-3.589,-0.001,-0.017,0.002,0.069,-0.006,1.048,0.219,1.087,-0.232,-0.026,-0.275,0.022,0.043,0.056,10.207,0.001,0.026,0.007,0.043,1.605,0.009,29.05,0.003,-0.018,-0.004,-0.168,-0.114,-1.059,0.052,-1.359,-0.967,-0.145,4.287,0.023,0.095,0.203,6.758,-0.007,0.194,0.013,0.145,1.733
rsa-mir3,0.036,7.309,0.001,0.058,-0.001,0.05,0.094,-2.073,-0.133,-0.183,0.093,0.141,1.748,0.0,0.166,0.179,2.341,-0.001,0.17,0.006,0.144,1.08,-0.032,-3.953,-0.004,-0.032,-0.004,-0.117,-0.123,-1.406,0.076,-0.187,-0.733,-0.184,-0.365,-0.006,0.009,0.013,7.671,-0.005,0.029,-0.002,0.015,0.903,0.009,-7.177,0.002,0.025,-0.005,-0.068,-0.077,-0.223,-0.112,1.319,-0.273,-0.211,-0.798,0.004,-0.05,0.104,13.432,-0.007,0.048,0.012,0.074,2.248
ath-miR839,0.147,-1.974,0.0,0.147,0.006,0.116,0.366,-0.352,-0.096,-0.307,0.24,0.252,0.001,-0.001,0.042,0.118,0.824,0.007,0.08,0.004,0.105,0.486,-0.012,-11.659,0.0,-0.301,-0.002,-0.044,0.053,-2.21,0.065,-1.447,1.987,-0.067,-2.892,-0.013,-0.012,-0.475,-16.959,-0.005,-0.347,-0.046,-0.389,-3.974,0.009,-19.201,-0.002,-0.207,-0.003,0.04,-0.062,0.481,-0.177,-2.449,3.937,-0.012,-3.699,-0.024,-0.012,-0.388,-22.832,-0.005,-0.297,-0.046,-0.176,-4.633
bna-miR158,0.299,-10.156,0.003,0.161,0.012,0.335,0.288,-1.413,0.175,-0.349,0.029,0.299,-1.014,0.001,0.058,0.133,6.348,0.015,0.067,0.008,0.127,1.316,-0.018,-0.291,-0.006,-0.085,0.004,0.143,-0.053,0.458,-0.005,0.225,0.349,0.038,-0.38,0.007,-0.032,-0.162,1.465,0.002,-0.116,0.002,-0.173,-0.338,-0.142,14.417,-0.004,-0.149,-0.005,0.118,-0.198,-1.548,-0.079,2.87,0.574,-0.136,1.68,-0.002,0.043,-0.192,-0.31,-0.012,-0.077,0.001,-0.198,-0.668
cgr-miR5206,0.027,12.114,0.001,0.066,0.013,0.533,0.033,2.237,-0.049,-0.122,0.66,0.426,3.072,0.002,0.5,0.476,12.691,0.012,0.372,0.024,0.39,3.203,-0.019,-4.634,0.002,-0.017,0.008,0.182,-0.128,-1.352,-0.033,-0.84,1.127,0.16,-0.832,-0.009,0.093,-0.105,-6.884,0.008,-0.065,-0.013,-0.006,-1.376,-0.02,-7.242,-0.002,-0.018,0.006,0.0,-0.125,-3.229,-0.052,-1.977,1.812,0.168,-1.782,-0.019,-0.107,-0.311,-13.036,0.006,-0.208,-0.031,-0.143,-2.892
nta-miR6148a,0.094,-16.84,0.006,0.055,0.004,0.102,0.008,-1.497,-0.078,-0.947,-0.267,0.133,-1.922,0.001,0.033,0.058,2.347,0.005,0.035,0.009,0.125,0.512,-0.123,11.187,0.0,-0.085,-0.004,-0.24,-0.091,-1.657,-0.014,-3.278,-0.977,-0.137,1.789,0.005,-0.108,0.017,13.606,-0.007,0.06,0.007,-0.108,2.021,-0.071,-2.998,0.004,0.028,-0.002,0.025,0.046,0.718,0.407,-0.765,-0.58,0.08,0.353,0.018,0.087,0.22,30.185,-0.005,0.147,0.043,0.17,4.725
mmu-miR-novel-33,0.138,6.664,-0.001,0.347,0.011,0.398,0.138,-0.781,-0.002,-0.275,0.259,0.19,1.912,0.0,0.16,0.327,11.359,0.015,0.269,0.009,0.278,2.619,-0.013,-14.3,0.002,0.1,0.004,0.208,-0.132,-0.163,0.196,-1.289,2.189,-0.137,-2.751,-0.005,0.011,-0.226,-8.936,0.006,-0.21,-0.016,-0.121,-2.08,-0.069,-15.433,-0.001,0.047,-0.004,-0.003,-0.097,-0.429,-0.062,-1.694,0.466,-0.278,-3.242,-0.02,-0.044,-0.38,-19.299,-0.005,-0.318,-0.031,-0.286,-3.852
pfo-mir89a,0.036,-0.451,-0.003,0.072,0.006,0.186,0.094,-0.743,0.187,-0.119,-0.568,0.211,0.659,-0.003,0.18,0.286,13.4,0.004,0.207,0.002,0.199,2.756,-0.018,-25.93,0.0,-0.023,-0.003,-0.249,-0.099,-3.175,-0.067,-1.137,2.034,-0.114,-4.687,-0.019,-0.254,-0.326,-15.146,-0.003,-0.301,-0.033,-0.184,-3.194,-0.019,-3.555,-0.006,-0.025,-0.004,-0.204,-0.115,-2.148,-0.19,0.108,1.022,-0.127,-1.248,0.005,-0.152,-0.286,-18.98,-0.002,-0.194,-0.031,-0.136,-3.674
osa-miR2090,0.17,-9.399,0.0,0.11,0.011,0.36,0.135,0.148,0.006,-0.385,-0.068,0.25,-0.866,0.001,0.075,0.176,3.75,0.014,0.09,0.004,0.12,1.107,0.021,-2.923,0.001,0.026,-0.001,-0.042,0.095,-0.545,0.169,0.753,-0.179,0.0,-0.809,0.027,-0.079,-0.084,-3.371,-0.002,-0.088,0.0,-0.055,-0.793,-0.033,11.034,-0.001,-0.011,-0.013,-0.322,-0.061,-0.422,0.203,0.494,0.035,-0.167,1.654,0.044,-0.083,0.069,14.872,-0.017,0.069,0.023,0.028,2.237
hvu-miRx5,0.05,-8.752,-0.005,0.086,0.005,0.208,0.072,-0.338,-0.066,-0.452,0.021,0.019,-1.317,-0.001,0.197,-0.027,-3.261,0.005,-0.043,-0.003,-0.003,-0.567,-0.003,-15.633,0.003,-0.053,-0.003,-0.058,0.085,-1.268,0.196,3.02,0.14,-0.213,-3.256,-0.009,-0.126,-0.378,-6.813,-0.004,-0.325,-0.004,-0.284,-2.197,0.056,16.896,-0.002,0.003,-0.002,0.043,-0.019,-2.117,-0.211,2.35,0.132,0.056,2.541,-0.04,-0.043,0.056,-5.377,-0.004,0.091,-0.022,0.05,-0.533
tae-miR396a,0.147,-13.821,-0.003,0.161,0.004,0.23,0.15,0.944,-0.001,-2.069,1.092,0.086,-1.646,-0.001,0.294,0.111,-4.162,0.006,0.046,0.006,0.208,-0.289,-0.067,15.416,0.002,0.082,-0.001,0.02,0.05,-0.443,0.02,2.143,-0.897,-0.053,2.389,0.032,0.032,0.05,9.614,-0.003,0.096,0.015,0.064,1.536,-0.13,12.273,0.001,0.028,-0.002,-0.028,-0.121,1.695,-0.128,-3.486,-2.925,-0.09,2.297,0.035,0.022,0.178,4.957,-0.003,0.158,0.037,0.139,1.528
gma-miR5559,0.127,-3.441,-0.001,0.08,0.002,0.158,0.036,-0.426,-0.176,-0.042,-0.17,0.08,-0.171,-0.002,0.18,0.069,-0.936,0.003,0.048,0.0,0.061,0.057,-0.032,-14.672,-0.001,-0.018,-0.007,-0.167,-0.003,-1.55,0.119,-0.746,-0.399,-0.257,-2.667,-0.028,-0.088,-0.246,-9.525,-0.009,-0.2,-0.023,-0.17,-2.036,-0.093,11.861,-0.004,-0.019,-0.003,-0.059,0.087,0.223,-0.067,-3.498,-1.524,0.003,1.733,-0.028,-0.093,0.09,-7.145,-0.006,0.07,-0.003,0.056,-0.37
ptc-miR1447,0.169,-4.908,0.002,0.163,0.009,0.263,0.055,-0.971,-0.147,-0.346,-0.427,0.249,0.158,0.0,0.066,0.288,4.261,0.012,0.198,0.001,0.23,1.5,-0.018,-5.503,0.001,-0.05,-0.005,0.0,-0.167,0.441,0.075,0.573,0.345,-0.292,-0.893,0.005,-0.067,0.04,5.805,-0.004,-0.015,0.008,0.012,0.895,-0.08,3.846,-0.002,-0.111,-0.007,-0.118,-0.176,1.235,-0.258,-1.322,-0.403,-0.31,0.654,0.005,-0.071,0.106,6.843,-0.006,0.056,0.019,0.012,1.477
bna-miR824,0.127,-10.245,0.002,0.166,0.007,0.357,0.205,0.049,0.027,-0.139,0.298,0.327,-0.581,0.001,0.233,0.201,4.895,0.008,0.141,0.005,0.152,1.316,-0.053,-3.732,0.0,0.009,0.003,0.14,0.044,-0.908,-0.108,-0.953,-1.026,0.178,-0.736,-0.018,0.009,-0.14,-5.158,0.004,-0.094,-0.011,-0.12,-0.957,-0.019,-35.005,-0.003,-0.037,0.006,0.111,-0.13,-2.199,-0.065,-2.158,1.391,0.071,-5.869,-0.037,-0.108,-0.42,-22.527,0.007,-0.357,-0.045,-0.248,-4.422
osa-miR528,0.147,-6.072,0.001,0.18,0.009,0.263,0.23,-1.127,0.168,-0.388,-0.603,0.366,-0.099,0.002,0.055,0.261,11.627,0.011,0.191,0.008,0.252,2.414,0.064,-19.91,0.002,-0.032,-0.001,0.0,0.14,-1.481,0.062,-1.772,2.254,0.053,-3.413,-0.015,-0.129,-0.202,-11.463,-0.001,-0.192,-0.021,-0.073,-2.31,-0.028,-13.099,0.001,-0.077,-0.005,0.0,-0.028,1.446,-0.043,-6.966,0.243,-0.121,-2.816,-0.01,0.04,-0.343,-25.89,-0.006,-0.249,-0.025,-0.142,-4.788
esa-miRn2.1-5p,0.188,-15.049,-0.001,0.14,0.004,0.15,0.145,-1.069,-0.116,-0.52,-0.61,0.16,-1.605,0.0,0.025,0.082,-0.793,0.008,0.068,0.001,0.135,0.125,0.079,-0.002,-0.004,-0.116,-0.002,-0.184,0.134,-0.937,-0.079,-3.568,-0.696,-0.042,-0.326,0.003,-0.105,-0.027,-9.529,-0.001,-0.042,0.002,-0.021,-1.213,0.069,4.025,0.001,-0.1,0.001,-0.125,0.086,0.577,0.027,-3.844,-0.776,0.011,0.768,-0.021,0.0,0.102,-4.665,0.001,0.071,-0.009,0.083,-0.054
gma-miR4413a-3p,0.185,-4.899,0.001,0.117,0.004,0.241,0.031,-1.855,-0.084,-0.275,-0.163,0.16,-0.283,0.0,0.083,0.108,0.53,0.008,0.07,0.0,0.09,0.465,-0.114,9.296,-0.002,0.065,-0.003,0.046,-0.098,-0.896,0.111,0.526,-0.097,-0.065,1.078,0.03,-0.118,-0.044,2.052,-0.004,-0.022,0.005,-0.039,0.058,-0.139,-0.497,0.001,0.007,-0.003,0.139,-0.167,-0.626,-0.208,2.892,-0.124,-0.069,-0.43,0.021,-0.094,-0.133,-6.585,-0.006,-0.079,-0.01,-0.059,-1.405
